ds,y
2020-01-01,195231
2020-02-01,173162
2020-03-01,179779
2020-04-01,159114
2020-05-01,234308
2020-06-01,313305
2020-07-01,316553
2020-08-01,348463
2020-09-01,287851
2020-10-01,269520
2020-11-01,233596
2020-12-01,231142
2021-01-01,228039
2021-02-01,195978
2021-03-01,249960
2021-04-01,241648
2021-05-01,274411
2021-06-01,301378
2021-07-01,303152
2021-08-01,282244
2021-09-01,317507
2021-10-01,308312
2021-11-01,269689
2021-12-01,248564
2022-01-01,279281
2022-02-01,244234
2022-03-01,251933
2022-04-01,236083
2022-05-01,276664
2022-06-01,271730
2022-07-01,294474
2022-08-01,269234
2022-09-01,272054
2022-10-01,267072
2022-11-01,246539
2022-12-01,260662
2023-01-01,242173
2023-02-01,225002
2023-03-01,251716
2023-04-01,247496
2023-05-01,280932
2023-06-01,267168
2023-07-01,289329
2023-08-01,282757
2023-09-01,283517
2023-10-01,302769
2023-11-01,280046
2023-12-01,271817
2024-01-01,287186
2024-02-01,240436
2024-03-01,266604
2024-04-01,267565
2024-05-01,283982
2024-06-01,306200
2024-07-01,298936
2024-08-01,284823
2024-09-01,306770
2024-10-01,306803
2024-11-01,293516
2024-12-01,313949
2025-01-01,348180
2025-02-01,255364
2025-03-01,281220
2025-04-01,272550
2025-05-01,295057
2025-06-01,306436
2025-07-01,315863
2025-08-01,304014
2025-09-01,302684
2025-10-01,336612
2025-11-01,304905
2025-12-01,332104
2026-01-01,348510
2026-02-01,334689
2026-03-01,342316
2026-04-01,302189
2026-05-01,276402
